name,lat,lon
Chugiak AK,61.3888889,-149.4819445
Arroyo Grande CA,35.1185868,-120.5907252
Los Gatos CA,37.2358078,-121.9623751
Roseville CA,38.7521235,-121.2880059
San Louis Obispo CA,35.2827524,-120.6596156
San Martin CA,37.0849464,-121.6102216
Van Nuys CA,34.1898566,-118.451357
Grayslake IL,42.34446639999999,-88.04174599999999
Valparaiso IN,41.4730948,-87.0611412
"Barnum, MN MN",46.5030014,-92.6885312
Cottage Grove MN,44.8277446,-92.9438218
Brownsville OR,44.39345710000001,-122.9848108
"Pawtucket, RI",41.878711,-71.38255579999999
Blaine WA,48.993723,-122.7471191
Deming WA,48.82567179999999,-122.21599
Port Angeles WA,48.118146,-123.4307413
Cheyenne WY,41.1399814,-104.8202462
Anniston AL,33.6598257,-85.8316318
Clanton AL,32.8387371,-86.6294262
Fultondale AL,33.6102837,-86.7967857
Holly Pond AL,34.1742634,-86.616382
Hueytown AL,33.4512197,-86.9966606
Marbury AL,32.7010141,-86.471469
Oxford AL,33.6142714,-85.8349648
Somerville AL,34.4731491,-86.79861199999999
Glendale AZ,33.5386523,-112.1859866
Marana AZ,32.436381,-111.2224422
Apple Valley CA,34.5008311,-117.1858759
Atascadero CA,35.4894169,-120.6707255
Azusa CA,34.1336186,-117.9075627
Burbank CA,34.1808392,-118.3089661
"Burbank, CA",34.1808392,-118.3089661
Cambria CA,35.5641381,-121.0807468
"Citrus Heights, CA",38.7071247,-121.2810611
Davis CA,38.5449065,-121.7405167
Duarte CA,34.1394513,-117.9772873
Escalon CA,37.7974273,-120.9966033
Fallbrook CA,33.3764196,-117.2511466
"Garden Grove, CA CA",33.7742692,-117.9379952
Goleta CA,34.4358294,-119.8276389
Heights CA,33.9930677,-117.9686755
Loomis CA,38.8212889,-121.1930041
Los Osos CA,35.3072291,-120.8384093
Merced CA,37.3021632,-120.4829677
Modesto CA,37.6392595,-120.9970014
Moorpark CA,34.285558,-118.8820414
Murrieta CA,33.5539143,-117.2139232
Nipomo CA,35.0427547,-120.4759986
Novato CA,38.1074198,-122.5697032
Oakland CA,37.8043514,-122.2711639
Ontario CA,34.0633443,-117.6508876
"Pacific Palisades, CA",34.03563310000001,-118.5155901
Pasadena CA,34.1477849,-118.1445155
"Pasadena, CA",34.1477849,-118.1445155
"Paso Robles, CA",35.6368759,-120.6545022
Petaluma CA,38.232417,-122.6366524
"Rancho Cucamonga, CA",34.10639889999999,-117.5931084
"San Luis Obispo, CA",35.2827524,-120.6596156
"Santa Margarita, CA",35.3899526,-120.6092971
"Santa Paula, CA",34.3541659,-119.0592705
Temple City CA,34.1072305,-118.0578456
Upper Lake CA,39.1646129,-122.9105515
Vista CA,33.2000368,-117.2425355
"Weimar, CA",39.0373968,-120.9724425
Wheatland CA,39.0098946,-121.4230133
"Wrightwood, CA",34.3608341,-117.6333884
Arvada CO,39.8027644,-105.0874842
Colorado Springs CO,38.8338816,-104.8213634
Evergreen CO,39.6333213,-105.3172146
Longmont CO,40.1672068,-105.1019275
Loveland CO,40.3977612,-105.0749801
Peetz CO,40.9627642,-103.1124241
Andover CT,41.7373211,-72.37035999999999
Litchfield CT,41.7472642,-73.1887165
Plantsville CT,41.5824016,-72.89036449999999
Thompson CT,41.9840732,-71.8792264
"Winchester Center, CT",41.8993948,-73.1347863
Woodstock CT,41.9484307,-71.9739625
"Woodstock, CT",41.9484307,-71.9739625
East Orlando FL,28.5383832,-81.3789269
Elkton FL,29.7829858,-81.4258833
Fernandina Beach FL,30.6696818,-81.46259189999999
Ft Pierce FL,27.4467056,-80.3256056
Gainseville FL,29.6516344,-82.32482619999999
Indiantown FL,27.0272756,-80.4856083
Keystone Heights FL,29.7860769,-82.0314892
Macclenny FL,30.2821807,-82.12205689999999
Middleburg FL,30.0688512,-81.8603778
Orange Park FL,30.1660736,-81.706484
Oveido FL,28.669997,-81.20812029999999
Starke FL,29.9441298,-82.1098275
Tampa FL,27.950575,-82.4571776
Atlanta GA,33.7489954,-84.3879824
Jasper GA,34.4695524,-84.4289888
Johns Creek GA,34.0289259,-84.198579
Liburn GA,33.8901036,-84.14297189999999
Tucker GA,33.8545479,-84.2171424
Woodstock GA,34.1014873,-84.5193754
Haleiwa HI,21.5927614,-158.1034112
Kapolei HI,21.3353909,-158.0568965
Waialua HI,21.5766667,-158.1302777
Des Moines IA,41.5868353,-93.6249593
Aurora IL,41.7605849,-88.32007150000001
"Channahon, IL",41.4294753,-88.2286735
Crystal Lake IL,42.2411344,-88.31619649999999
Elk Grove Village IL,42.0039178,-87.9703461
"Geneva, IL",41.8926437,-88.3287896
Greenville IL,38.8922687,-89.41313559999999
Hudson IL,40.6058688,-88.9872965
"Joliet, IL IL",41.525031,-88.0817251
Manteno IL,41.2505881,-87.8314324
Maple Park IL,41.9075282,-88.59924939999999
OSWEGO IL,41.6828074,-88.35145960000001
Plainfield IL,41.632223,-88.2120315
"Sandwich, IL",41.6458634,-88.6217432
"Schaumburg, IL",42.0333607,-88.0834059
Hamlet IN,41.3781614,-86.5829699
"Huntington, IN",40.8831011,-85.49747599999999
La Porte IN,41.611143,-86.7227195
Pierceton IN,41.2003229,-85.7055417
Shelbyville IN,39.5214373,-85.7769238
Florence KY,38.9989499,-84.62661109999999
Lebanon Junction KY,37.8340476,-85.72934980000001
Shepherdsville KY,37.9883991,-85.7157924
"Shepherdsville, KY",37.9883991,-85.7157924
Loranger LA,30.6357439,-90.3981441
Boylston MA,42.3889953,-71.69081419999999
East Brookfield MA,42.2266927,-72.046446
Foxborough MA,42.0653812,-71.2478251
Goshen MA,42.4407187,-72.7993986
Groveland MA,42.76036879999999,-71.0314451
Littelville MA,42.2875157,-72.8903535
Pittsfield MA,42.4500845,-73.2453824
Worcester MA,42.2625932,-71.8022934
Annapolis MD,38.9784453,-76.4921829
Baltimore MD,39.2903848,-76.6121893
La Plata MD,38.5292877,-76.97525139999999
Oxford MD,38.68650720000001,-76.1716108
Parkton MD,39.6430963,-76.65825889999999
"Worton, MD",39.2745539,-76.09217009999999
Berwick ME,43.26831989999999,-70.8635506
Cumberland Center ME,43.7964679,-70.2589388
Fryeburg ME,44.0164329,-70.9806357
"Fryeburg, ME",44.0164329,-70.9806357
Kittery ME,43.0881256,-70.73613700000001
Oxford ME,44.1317459,-70.4931557
Portland ME,43.6590993,-70.2568189
York ME,43.16174830000001,-70.6482581
Adrian MI,41.8975471,-84.03716589999999
Jackson MI,42.245869,-84.40134619999999
"Jackson, MI",42.245869,-84.40134619999999
Barnum MN,46.5030014,-92.6885312
Burnsville MN,44.7677424,-93.2777226
Cannon Falls MN,44.5069113,-92.905484
Excelsior MN,44.9032963,-93.5663455
Hugo MN,45.159964,-92.9933412
"Lakeville, MN",44.6496868,-93.24272
Loretto MN,45.0546855,-93.6355165
Northfield MN,44.4582983,-93.161604
Osseo MN,45.1194091,-93.4024532
"Richfield, MN",44.8832982,-93.2830021
"St Paul, MN",44.9537029,-93.0899578
St. Croix MN,45.1984344,-92.770531
West Saint Paul MN,44.9160768,-93.1016074
Centralia MO,39.2103186,-92.1379539
"Columbia, MO",38.9517053,-92.3340724
Nixa MO,37.0433863,-93.294353
Belgrade MT,45.7762463,-111.1770945
"Bozeman, MT",45.6769979,-111.0429339
East Helena MT,46.5896567,-111.9155461
Huntley MT,45.899401,-108.3015174
Worden MT,45.959962,-108.1609536
"Lumberton, NC",34.6182199,-79.0086424
Mebane NC,36.0958987,-79.2665378
Moncure NC,35.6226831,-79.0783474
Yadkinville NC,36.1345807,-80.6595079
Durham NH,43.1339545,-70.9264393
Merrimack NH,42.8678693,-71.49483219999999
Tuftonboro NH,43.6963,-71.2221024
Alpine NJ,40.9559316,-73.9312478
Augusta NJ,41.1446516,-74.7061308
"Augusta, NJ",41.1446516,-74.7061308
Bridgewater NJ,40.5939636,-74.6049061
Medford NJ,39.86618259999999,-74.8390162
Milford NJ,40.5687128,-75.09461689999999
Shamong NJ,39.7775775,-74.7351513
"Las Vegas, NV",36.1699412,-115.1398296
North Las Vegas NV,36.1988592,-115.1175013
"Reno, NV",39.5296329,-119.8138027
"Bloomfield, NY NY",42.8972624,-77.4214278
Bowmansville NY,42.9402641,-78.6869115
Brooktondale NY,42.3806287,-76.3946593
Central Islip NY,40.7906538,-73.20178109999999
Cornwall NY,41.4343383,-74.0353681
Cornwall on Hudson NY,41.444816,-74.0156961
Cornwall-on-Hudson NY,41.444816,-74.0156961
Cornwall-On-Hudson NY,41.444816,-74.0156961
Cuba NY,42.2175668,-78.2752927
Hinsdale NY,42.1678436,-78.3872408
Ithaca NY,42.4439614,-76.5018807
North Tonawanda NY,43.038668,-78.8642033
Patterson NY,41.513264,-73.60482879999999
Roosevelt NY,40.67871299999999,-73.5890168
"Roosevelt, NY",40.67871299999999,-73.5890168
Batavia OH,39.0770072,-84.1768795
Kirtland OH,41.62893649999999,-81.3614985
Monroe OH,39.4450552,-84.3610458
Newbury Township OH,41.44933899999999,-81.27390729999999
"Oregon, OH",41.6436603,-83.48687679999999
Adair Village OR,44.6706762,-123.2178759
Albany OR,44.6365107,-123.1059282
"Bandon, OR",43.1189978,-124.408448
Beavercreek OR,45.2879294,-122.5353423
Bend OR,44.0581728,-121.3153096
Boring OR,45.4313662,-122.3734641
Cheshire OR,44.1895675,-123.2856507
Clackamas OR,45.4076205,-122.5703692
Dallas OR,44.9192844,-123.3170472
Eugene OR,44.0520691,-123.0867536
"Grants Pass, OR",42.4390069,-123.3283925
Hood River OR,45.7067985,-121.528087
Keizer OR,44.9901194,-123.0262077
Lane County OR,43.9610092,-122.6618227
Lebanon OR,44.53651190000001,-122.9070339
Medford OR,42.3265152,-122.8755949
Sandy OR,45.3973141,-122.2630704
Scotts Mills OR,45.0428996,-122.6684215
Silverton OR,45.0051213,-122.7831455
SILVERTON OR,45.0051213,-122.7831455
St. Paul OR,45.21122949999999,-122.9767662
Stayton OR,44.8006775,-122.7945333
Welches OR,45.3384806,-121.9632168
Willamina OR,45.0791034,-123.4845622
Cresco PA,41.157846,-75.2800286
Dillsburg PA,40.1109255,-77.034978
"Douglassville, PA PA",40.2581117,-75.7262916
Downingtown PA,40.0064958,-75.7032742
East Stroudsburg PA,41.0030522,-75.1817547
Gilbert PA,40.9159255,-75.43935110000001
"Gilbert, PA",40.9159255,-75.43935110000001
Kintnersville PA,40.5590977,-75.17852649999999
Kittanning PA,40.816453,-79.5219893
Latrobe PA,40.3211808,-79.37948109999999
Millmont PA,40.8845903,-77.1411474
Mt. Wolf PA,40.0631514,-76.703856
Oakdale PA,40.3981246,-80.1856134
Peachbottom PA,39.7506049,-76.22692119999999
Pottstown PA,40.2453741,-75.6496302
Smithton PA,40.1539613,-79.7411535
Waynesboro PA,39.755927,-77.57776919999999
West Milton PA,41.0200847,-76.8716305
York PA,39.9625984,-76.727745
"Bristol, RI RI",41.6771101,-71.26620249999999
Kingston RI,41.48037910000001,-71.52255980000001
Greenville SC,34.85261759999999,-82.3940104
Spartanburg SC,34.9495672,-81.9320482
Castalian Springs TN,36.3936587,-86.3080463
Marble Falls TX,30.5782297,-98.2729184
Salt Lake City UT,40.7607793,-111.8910474
Blue Ridge VA,37.3784694,-79.8069828
"Charlottesville, VA VA",38.0293059,-78.47667810000002
Goochland VA,37.6841421,-77.885374
Prince William County VA,38.7838939,-77.6077865
Roanoke VA,37.2709704,-79.9414266
Salem VA,37.2934681,-80.05476259999999
"Burien, WA",47.4668384,-122.3405305
Camas WA,45.5856983,-122.4026689
"Carson, WA",45.7255968,-121.8188307
"Deming, WA",48.82567179999999,-122.21599
Dupont WA,47.10032229999999,-122.6447891
Enumclaw WA,47.2042681,-121.9915003
Ferndale WA,48.8464991,-122.5910056
Forks WA,47.950355,-124.3854867
Graham WA,47.0528789,-122.2942839
"Grapeview, WA",47.33174810000001,-122.8357032
La Center WA,45.86208080000001,-122.6725746
North Bend WA,47.4956579,-121.7867775
Shelton WA,47.2150945,-123.1007066
Shoreline WA,47.7559659,-122.3456972
"Stevenson, WA",45.6956723,-121.8845241
Camp Lake WI,42.5347409,-88.1436976
Houlton WI,45.0606267,-92.7916777
Kenosha WI,42.5847425,-87.82118539999999
"Kiel, WI",43.912493,-88.0356515
Manitowoc WI,44.0886059,-87.657584
"Somerset, WI",45.1244108,-92.6735365
Watertown WI,43.1947211,-88.7289918
Waukesha WI,43.0116784,-88.2314813
Wilmot WI,42.5130426,-88.1825133
Hedgesville WV,39.5534303,-77.99499930000002
"Chugiak, AK",61.3888889,-149.4819445
"Chugiak, AK AK",61.3888889,-149.4819445
Soldotna AK,60.4877778,-151.0583332
Bessemer AL,33.4017766,-86.954437
Kimberly AL,33.7734352,-86.81388319999999
"Somerville, AL",34.4731491,-86.79861199999999
La Canada CA,34.2068182,-118.2000277
Littlerock CA,34.521104,-117.9836793
Los Alamitos CA,33.8032009,-118.0718894
"Simi Valley, CA CA",34.2694474,-118.781482
"Aurora, CO",39.7294319,-104.8319195
Cortez CO,37.3488827,-108.5859265
Craig CO,40.5152491,-107.5464541
Ft Collins CO,40.5852602,-105.084423
Gunnision CO,38.5458246,-106.9253207
"Meeker, CO",40.03747329999999,-107.9131299
Milliken CO,40.3294268,-104.85525
Rifle CO,39.5347023,-107.7831198
Steamboat CO,40.4849769,-106.8317158
Sterling CO,40.6255415,-103.207709
Sorrento FL,28.80777,-81.56368379999999
Mountain City GA,34.9181473,-83.38543589999999
Olin IA,41.9980675,-91.1415456
Belvidere IL,42.2639098,-88.84426739999999
"Joliet, IL",41.525031,-88.0817251
"Moline, IL",41.5067003,-90.5151342
Morris IL,41.357254,-88.4211785
Romeoville IL,41.6475306,-88.0895061
Yorkville IL,41.6411409,-88.44729480000001
Dighton MA,41.84385899999999,-71.15673439999999
"Foxborough, MA",42.0653812,-71.2478251
Uxbridge MA,42.07724289999999,-71.6302532
Marriottsville MD,39.3491115,-76.89964739999999
Sharpsburg MD,39.4575994,-77.748882
"York, ME",43.16174830000001,-70.6482581
Bellevue MI,42.4433716,-85.0180464
Dimondale MI,42.64559149999999,-84.6488707
"Leslie, MI MI",42.4514252,-84.4324695
Elko MN,44.5610022,-93.3162295
"Hastings, MN MN",44.7443293,-92.8513706
